X;Y;Z
-27;5;-53
-27;5;-53
-27;5;-53
-26;5;-53
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-27;4;-55
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-56
-27;4;-56
-27;4;-56
-27;4;-56
-26;4;-56
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-27;5;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;3;-56
-27;3;-56
-27;3;-56
-27;3;-56
-27;3;-56
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;4;-54
-26;4;-54
-26;4;-54
-26;4;-54
-27;4;-54
-27;2;-55
-27;2;-55
-27;2;-55
-27;2;-55
-26;2;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-27;4;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;3;-55
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-26;3;-54
-26;3;-55
-26;3;-55
-26;3;-55
-26;3;-55
-27;3;-55
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-27;3;-53
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-26;4;-54
-26;3;-54
-26;3;-54
-26;3;-54
-26;3;-54
-25;3;-54
-25;4;-53
-25;4;-53
-25;4;-53
-25;4;-53
-26;4;-53
-26;2;-54
-26;2;-54
-26;2;-54
-26;2;-54
-25;2;-54
-25;2;-53
-25;2;-53
-25;2;-53
-25;2;-53
-26;2;-53
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;4;-53
-26;4;-53
-26;4;-53
-26;4;-53
-27;4;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-25;3;-52
-25;4;-54
-25;4;-54
-25;4;-54
-25;4;-54
-26;4;-54
-26;2;-53
-26;2;-53
-26;2;-53
-26;2;-53
-26;2;-53
-26;4;-54
-26;4;-54
-26;4;-54
-26;4;-54
-25;3;-53
-25;3;-53
-25;3;-53
-25;3;-53
-25;3;-53
-26;2;-53
-26;2;-53
-26;2;-53
-26;2;-53
-26;2;-53
-28;2;-53
-28;3;-52
-28;3;-52
-28;3;-52
-28;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-26;2;-52
-26;2;-52
-26;2;-52
-26;2;-52
-27;2;-52
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-26;2;-51
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-27;3;-52
-27;2;-52
-27;2;-52
-27;2;-52
-27;2;-52
-26;2;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-27;3;-52
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-28;3;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-26;2;-52
-26;2;-52
-26;2;-52
-26;2;-52
-26;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-27;2;-52
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;3;-50
-27;3;-50
-27;3;-50
-27;3;-50
-27;3;-50
-27;3;-51
-27;3;-51
-27;3;-51
-27;3;-51
-27;3;-51
-27;2;-50
-27;2;-50
-27;2;-50
-27;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-27;2;-50
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;1;-50
-27;1;-50
-27;1;-50
-27;1;-50
-29;1;-50
-29;3;-50
-29;3;-50
-29;3;-50
-29;3;-50
-27;2;-49
-27;2;-49
-27;2;-49
-27;2;-49
-27;2;-49
-28;2;-49
-28;3;-51
-28;3;-51
-28;3;-51
-28;3;-51
-30;37;-51
-30;0;-47
-30;0;-47
-30;0;-47
-30;0;-47
-29;0;-47
-29;1;-49
-29;1;-49
-29;1;-49
-29;1;-49
-29;1;-49
-29;0;-48
-29;0;-48
-29;0;-48
-29;0;-48
-29;0;-48
-29;1;-48
-29;1;-48
-29;1;-48
-29;1;-48
-30;1;-48
-30;0;-46
-30;0;-46
-30;0;-46
-30;0;-46
-29;0;-46
-29;0;-48
-29;0;-48
-29;0;-48
-29;0;-48
-30;0;-48
-30;0;-47
-30;0;-47
-30;0;-47
-30;0;-47
-29;0;-47
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;1;-50
-29;1;-50
-29;1;-50
-29;1;-50
-28;1;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-29;2;-50
-29;1;-50
-29;1;-50
-29;1;-50
-29;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-29;1;-50
-29;1;-50
-29;1;-50
-29;1;-50
-28;1;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-29;2;-50
-29;2;-49
-29;2;-49
-29;2;-49
-29;2;-49
-29;2;-49
-29;2;-50
-29;2;-50
-29;2;-50
-29;2;-50
-28;2;-50
-28;3;-49
-28;3;-49
-28;3;-49
-28;3;-49
-28;3;-49
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-51
-28;2;-51
-28;2;-51
-28;2;-51
-28;4;-51
-28;4;-51
-28;4;-51
-28;4;-51
-28;4;-51
-29;4;-51
-29;3;-52
-29;3;-52
-29;3;-52
-29;3;-52
-27;3;-52
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-28;2;-53
-28;4;-53
-28;4;-53
-28;4;-53
-28;4;-53
-27;4;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-51
-27;2;-50
-27;2;-50
-27;2;-50
-27;2;-50
-28;2;-50
-28;3;-50
-28;3;-50
-28;3;-50
-28;3;-50
-28;3;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-28;2;-50
-29;2;-50
-29;3;-49
-29;3;-49
-29;3;-49
-29;3;-49
-27;3;-49
-27;2;-50
-27;2;-50
-27;2;-50
-27;2;-50
-28;2;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;1;-50
-28;0;-49
-28;0;-49
-28;0;-49
-28;0;-49
-27;0;-49
-27;2;-50
-27;2;-50
-27;2;-50
-27;2;-50
-28;2;-50
-28;0;-50
-28;0;-50
-28;0;-50
-28;0;-50
-27;0;-50
-27;1;-49
-27;1;-49
-27;1;-49
-27;1;-49
-28;2;-49
-28;2;-49
-28;2;-49
-28;2;-49
-28;2;-49
-29;2;-49
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-48
-29;2;-47
-29;2;-47
-29;2;-47
-29;2;-47
-28;2;-47
-28;2;-49
-28;2;-49
-28;2;-49
-28;2;-49
-28;2;-49
-28;1;-48
-28;1;-48
-28;1;-48
-28;1;-48
-27;1;-48
-27;0;-49
-27;0;-49
-27;0;-49
